voltage,current
-0.735096693,-8.461326E-5
-0.730091631,-8.400028E-5
-0.725085437,-8.340105E-5
-0.720077276,-8.280583E-5
-0.715070486,-8.220573E-5
-0.710063756,-8.160498E-5
-0.705057561,-8.101465E-5
-0.700048745,-8.043778E-5
-0.695056796,-7.98591E-5
-0.690060198,-7.927442E-5
-0.685063064,-7.869767E-5
-0.680066824,-7.813212E-5
-0.675071537,-7.756691E-5
-0.670075834,-7.699437E-5
-0.665078282,-7.643049E-5
-0.660085917,-7.588323E-5
-0.655088425,-7.532762E-5
-0.650092483,-7.476997E-5
-0.645093322,-7.421852E-5
-0.640098095,-7.36796E-5
-0.635100663,-7.313891E-5
-0.630103409,-7.259014E-5
-0.625115514,-7.205842E-5
-0.62011975,-7.153203E-5
-0.615123868,-7.099956E-5
-0.610125959,-7.046941E-5
-0.605130434,-6.994702E-5
-0.600134492,-6.94306E-5
-0.595137954,-6.890608E-5
-0.590141952,-6.838749E-5
-0.585146129,-6.787791E-5
-0.580152035,-6.737537E-5
-0.57515353,-6.686335E-5
-0.570156515,-6.635708E-5
-0.56515944,-6.585953E-5
-0.5601632,-6.536065E-5
-0.555162907,-6.486595E-5
-0.550156057,-6.436659E-5
-0.545150161,-6.387541E-5
-0.540141225,-6.339666E-5
-0.535133779,-6.291043E-5
-0.530127823,-6.243196E-5
-0.525121033,-6.193183E-5
-0.520114899,-6.147712E-5
-0.515108526,-6.098796E-5
-0.510102928,-6.051019E-5
-0.50509572,-6.004503E-5
-0.500088811,-5.957878E-5
-0.495115459,-5.913649E-5
-0.490107834,-5.864279E-5
-0.485108972,-5.81834E-5
-0.480103254,-5.772246E-5
-0.475096315,-5.726181E-5
-0.470088452,-5.680736E-5
-0.465083152,-5.636071E-5
-0.460075557,-5.591191E-5
-0.455065876,-5.546228E-5
-0.450060934,-5.50069E-5
-0.445053548,-5.457964E-5
-0.44004789,-5.413823E-5
-0.435039282,-5.369403E-5
-0.430032104,-5.325574E-5
-0.425025254,-5.282475E-5
-0.420017391,-5.239088E-5
-0.415017992,-5.196452E-5
-0.410022765,-5.153888E-5
-0.405027092,-5.111437E-5
-0.400029629,-5.068694E-5
-0.395034373,-5.025825E-5
-0.390038192,-4.984421E-5
-0.385041535,-4.942184E-5
-0.380043745,-4.90139E-5
-0.375048846,-4.859283E-5
-0.370053113,-4.817497E-5
-0.36505577,-4.777604E-5
-0.36005947,-4.735876E-5
-0.3550632,-4.695388E-5
-0.35006693,-4.654983E-5
-0.345075995,-4.614339E-5
-0.34008041,-4.573989E-5
-0.335085899,-4.533436E-5
-0.330089152,-4.493558E-5
-0.325092614,-4.454804E-5
-0.320094705,-4.414574E-5
-0.315098763,-4.374984E-5
-0.310101479,-4.335942E-5
-0.305106461,-4.296931E-5
-0.300110847,-4.257886E-5
-0.295113444,-4.218903E-5
-0.290115476,-4.180179E-5
-0.285120785,-4.142009E-5
-0.280123323,-4.103334E-5
-0.27512604,-4.06516E-5
-0.270119518,-4.026882E-5
-0.265114009,-3.988963E-5
-0.260108173,-3.950629E-5
-0.255100578,-3.912671E-5
-0.250093907,-3.875126E-5
-0.245088145,-3.837401E-5
-0.240079999,-3.799546E-5
-0.235110715,-3.762535E-5
-0.230101302,-3.725305E-5
-0.225095347,-3.687941E-5
-0.220088363,-3.650486E-5
-0.215083182,-3.613421E-5
-0.210067689,-3.57648E-5
-0.205071762,-3.53955E-5
-0.20007737,-3.502256E-5
-0.195081994,-3.46534E-5
-0.190078586,-3.428407E-5
-0.185075983,-3.391474E-5
-0.180068582,-3.354219E-5
-0.175074175,-3.317003E-5
-0.170083404,-3.280007E-5
-0.165088549,-3.242721E-5
-0.160082415,-3.205062E-5
-0.155076995,-3.167203E-5
-0.150078177,-3.129549E-5
